1786269845,11
1786269856,11
1786269867,11
1786269878,11
1786269889,11
1786269900,11
1786269910,11
1786269921,11
1786269932,11
1786269943,11
1786269954,11
1786269965,11
1786269976,11
1786269987,11
1786269998,11
1786270009,11
1786270020,11
1786270031,11
1786270042,11
1786270052,11
1786270064,11
1786270074,11
1786270085,11
1786270096,11
1786270107,11
1786270118,11
1786270129,11
1786270140,11
1786270151,11
1786270161,11
1786270172,11
1786270183,11
1786270194,11
1786270205,11
1786270216,11
1786270226,11
1786270237,11
1786270248,11
1786270259,11
1786270270,11
1786270281,11
1786270291,11
1786270302,11
1786270313,11
1786270324,11
1786270335,11
1786270345,11
1786270356,11
1786270367,11
1786270378,11
1786270389,11
1786270400,11
1786270411,11
1786270422,11
1786270432,10
1786270445,12
1786270456,12
1786270467,11
1786270479,12
1786270490,12
1786270502,12
1786270513,12
1786270524,12
1786270536,12
1786270548,12
1786270559,12
1786270570,12
1786270581,12
1786270592,12
1786270604,12
1786270615,12
1786270628,12
1786270640,12
1786270652,12
1786270664,12
1786270675,12
1786270686,12
1786270697,12
1786270709,12
1786270720,12
1786270732,12
1786270743,12
1786270754,12
1786270766,12
1786270777,12
1786270788,12
1786270801,12
1786270813,12
1786270824,12
1786270835,12
1786270846,11
1786270859,12
1786270870,12
1786270883,12
1786270894,12
1786270905,12
1786270916,12
1786270927,12
1786270939,12
1786270950,12
1786270961,12
1786270972,12
1786270983,12
1786270994,12
1786271005,12
1786271016,12
1786271027,12
1786271039,12
1786271050,12
1786271061,12
1786271072,12
1786271083,12
1786271094,12
1786271104,10
1786271117,14
1786271130,14
1786271143,14
1786271158,14
1786271173,14
1786271193,-1
1786271206,14
1786271219,14
1786271231,14
1786271243,14
1786271258,14
1786271270,14
1786271282,14
1786271295,14
1786271306,14
1786271321,14
1786271334,14
1786271349,14
1786271361,14
1786271372,13
1786271386,14
1786271399,14
1786271415,14
1786271432,14
1786271445,14
1786271461,14
1786271478,14
1786271498,13
1786271513,14
1786271534,-1
1786271549,14
1786271570,-1
1786271590,-1
1786271610,-1
1786271630,-1
1786271650,-1
1786271671,-1
1786271691,-1
1786271711,-1
1786271731,14
1786271751,-1
1786271771,-1
1786271792,-1
1786271810,14
1786271823,10
1786271843,-1
1786271863,-1
1786271884,-1
1786271904,-1
1786271924,-1
1786271945,-1
1786271965,-1
1786271986,-1
1786272006,-1
1786272026,-1
1786272046,-1
1786272066,-1
1786272087,-1
1786272106,20
1786272127,-1
1786272147,-1
1786272167,-1
1786272188,-1
1786272204,18
1786272225,-1
1786272245,-1
1786272266,-1
1786272287,-1
1786272307,-1
1786272327,-1
1786272348,-1
1786272361,10
1786272381,-1
1786272402,-1
1786272423,-1
1786272444,-1
1786272464,-1
1786272485,-1
1786272505,-1
1786272526,-1
1786272547,-1
1786272568,-1
1786272588,-1
1786272609,25
1786272629,-1
1786272644,20
1786272658,26
1786272675,26
1786272696,-1
1786272713,24
1786272730,26
1786272745,25
1786272766,-1
1786272785,26
1786272806,-1
1786272820,24
1786272834,26
1786272848,25
1786272865,26
1786272886,-1
1786272907,-1
1786272927,-1
1786272941,25
1786272955,12
1786272976,-1
1786272997,-1
1786273012,21
1786273033,-1
1786273049,24
1786273062,11
1786273073,12
1786273085,20
1786273100,19
1786273116,20
1786273138,-1
1786273153,17
1786273170,18
1786273187,20
1786273200,19
1786273220,-1
1786273237,19
1786273254,19
1786273267,19
1786273286,20
1786273301,18
1786273314,19
1786273330,18
1786273342,20
1786273355,21
1786273367,14
1786273377,12
1786273388,12
1786273399,12
1786273410,12
1786273422,12
1786273433,12
1786273444,12
1786273456,11
1786273468,18
1786273483,18
1786273494,17
1786273506,16
1786273519,17
1786273531,16
1786273542,13
1786273556,16
1786273567,13
1786273579,14
1786273592,15
1786273606,16
1786273621,17
1786273636,15
1786273647,13
1786273658,15
1786273670,14
1786273686,18
1786273701,18
1786273713,17
1786273726,16
1786273739,16
1786273750,15
1786273767,18
1786273781,14
1786273792,10
1786273804,10
1786273824,-1
1786273845,-1
1786273858,20
1786273875,22
1786273887,19
1786273900,20
1786273913,19
1786273929,21
1786273948,21
1786273959,12
1786273975,17
1786273993,23
1786274006,18
1786274021,22
1786274033,20
1786274048,23
1786274068,-1
1786274088,-1
1786274101,20
1786274122,-1
1786274139,23
1786274150,21
1786274164,21
1786274177,21
1786274191,19
1786274211,-1
1786274232,-1
1786274246,21
1786274258,13
1786274274,26
1786274294,-1
1786274307,25
1786274327,-1
1786274347,-1
1786274368,-1
1786274388,-1
1786274409,-1
1786274430,-1
1786274452,-1
1786274474,-1
1786274496,-1
1786274517,-1
1786274538,-1
1786274559,-1
1786274580,-1
1786274601,-1
1786274622,-1
1786274643,-1
1786274663,-1
1786274685,-1
1786274706,-1
1786274727,-1
1786274747,-1
1786274768,-1
1786274789,-1
1786274810,-1
1786274831,-1
1786274852,-1
1786274873,-1
1786274894,-1
1786274915,-1
1786274937,-1
1786274957,-1
1786274978,-1
1786274999,-1
1786275020,-1
1786275040,-1
1786275055,9
1786275076,-1
1786275097,-1
1786275119,-1
1786275142,-1
1786275164,-1
1786275187,-1
1786275209,-1
1786275231,-1
1786275252,-1
1786275272,41
1786275293,-1
1786275314,-1
1786275336,-1
1786275357,-1
1786275377,38
1786275399,-1
1786275419,-1
1786275441,-1
1786275462,-1
1786275483,-1
1786275505,-1
1786275527,-1
1786275548,-1
1786275570,-1
1786275590,-1
1786275612,-1
1786275633,-1
1786275655,-1
1786275676,-1
1786275694,24
1786275707,18
1786275727,16
1786275740,14
1786275752,11
1786275764,11
1786275777,11
1786275794,24
1786275815,-1
1786275835,-1
1786275856,-1
1786275877,-1
1786275892,22
1786275906,13
1786275926,-1
1786275946,-1
1786275967,-1
1786275987,-1
1786276008,-1
1786276028,-1
1786276039,10
1786276049,11
1786276060,11
1786276071,11
1786276087,12
1786276107,-1
1786276127,-1
1786276143,15
1786276164,-1
1786276184,-1
1786276195,13
1786276215,-1
1786276235,-1
1786276251,16
1786276271,-1
1786276283,15
1786276296,17
1786276311,16
1786276322,11
1786276332,11
1786276343,11
1786276354,11
1786276375,-1
1786276395,-1
1786276410,20
1786276430,-1
1786276451,-1
1786276471,-1
1786276491,-1
1786276512,-1
1786276532,-1
1786276553,-1
1786276565,12
1786276576,13
1786276588,13
1786276601,13
1786276616,43
1786276635,35
1786276650,39
1786276671,-1
1786276684,39
1786276705,-1
1786276720,39
1786276736,35
1786276757,-1
1786276770,35
1786276784,35
1786276804,-1
1786276824,37
1786276841,35
1786276861,-1
1786276880,35
1786276901,-1
1786276914,10
1786276925,11
1786276935,11
1786276956,-1
1786276978,-1
1786276999,-1
1786277020,-1
1786277041,-1
1786277062,-1
1786277084,-1
1786277104,-1
1786277125,-1
1786277146,-1
1786277167,-1
1786277188,-1
1786277209,-1
1786277230,-1
1786277251,-1
1786277272,-1
1786277293,-1
1786277313,-1
1786277335,-1
1786277357,-1
1786277379,-1
1786277400,-1
1786277421,-1
1786277432,10
1786277442,10
1786277453,10
1786277463,10
1786277474,10
1786277484,0
75802,0
1786275812,0
1786275823,0
1786275834,0
1786275845,0
1786275855,0
1786275866,0
1786275876,0
1786275887,0
1786275897,0
1786275907,0
1786275918,0
1786275928,0
1786275940,0
1786275950,0
1786275961,0
1786275972,0
1786275982,0
1786275993,0
1786276004,0
1786276015,0
1786276025,0
1786276035,0
